Geo_unit,Province,Type,Geo_unit_full_name,Area,Geo_unit_EN,Province_EN,Geo_unit_full_name_EN,Miền
An Phú,An Giang,District,"An Phú, An Giang Province, Vietnam",226.0,An Phu,An Giang,"An Phu, An Giang Province, Vietnam",Miền Nam
Châu Đốc city,An Giang,District,"Châu Đốc city, An Giang Province, Vietnam",105.29,Chau Doc city,An Giang,"Chau Doc city, An Giang Province, Vietnam",Miền Nam
Châu Phú,An Giang,District,"Châu Phú, An Giang Province, Vietnam",426.0,Chau Phu,An Giang,"Chau Phu, An Giang Province, Vietnam",Miền Nam
Châu Thành,An Giang,District,"Châu Thành, An Giang Province, Vietnam",339.0,Chau Thanh,An Giang,"Chau Thanh, An Giang Province, Vietnam",Miền Nam
Chợ Mới,An Giang,District,"Chợ Mới, An Giang Province, Vietnam",606.0,Cho Moi,An Giang,"Cho Moi, An Giang Province, Vietnam",Miền Nam
Long Xuyên city,An Giang,District,"Long Xuyên city, An Giang Province, Vietnam",106.87,Long Xuyen city,An Giang,"Long Xuyen city, An Giang Province, Vietnam",Miền Nam
Phú Tân,An Giang,District,"Phú Tân, An Giang Province, Vietnam",426.0,Phu Tan,An Giang,"Phu Tan, An Giang Province, Vietnam",Miền Nam
Tân Châu town,An Giang,District,"Tân Châu town, An Giang Province, Vietnam",175.68,Tan Chau town,An Giang,"Tan Chau town, An Giang Province, Vietnam",Miền Nam
Thoại Sơn,An Giang,District,"Thoại Sơn, An Giang Province, Vietnam",456.0,Thoai Son,An Giang,"Thoai Son, An Giang Province, Vietnam",Miền Nam
Tịnh Biên,An Giang,District,"Tịnh Biên, An Giang Province, Vietnam",337.0,Tinh Bien,An Giang,"Tinh Bien, An Giang Province, Vietnam",Miền Nam
Tri Tôn,An Giang,District,"Tri Tôn, An Giang Province, Vietnam",598.0,Tri Ton,An Giang,"Tri Ton, An Giang Province, Vietnam",Miền Nam
Bà Rịa city,Bà Rịa–Vũng Tàu,District,"Bà Rịa city, Bà Rịa–Vũng Tàu Province, Vietnam",91.46,Ba Ria city,Ba Ria–Vung Tau,"Ba Ria city, Ba Ria–Vung Tau Province, Vietnam",Miền Nam
Châu Đức,Bà Rịa–Vũng Tàu,District,"Châu Đức, Bà Rịa–Vũng Tàu Province, Vietnam",421.0,Chau Duc,Ba Ria–Vung Tau,"Chau Duc, Ba Ria–Vung Tau Province, Vietnam",Miền Nam
Côn Đảo Island,Bà Rịa–Vũng Tàu,District,"Côn Đảo Island, Bà Rịa–Vũng Tàu Province, Vietnam",76.0,Con Dao Island,Ba Ria–Vung Tau,"Con Dao Island, Ba Ria–Vung Tau Province, Vietnam",Miền Nam
Đất Đỏ,Bà Rịa–Vũng Tàu,District,"Đất Đỏ, Bà Rịa–Vũng Tàu Province, Vietnam",190.0,Dat Do,Ba Ria–Vung Tau,"Dat Do, Ba Ria–Vung Tau Province, Vietnam",Miền Nam
Long Điền,Bà Rịa–Vũng Tàu,District,"Long Điền, Bà Rịa–Vũng Tàu Province, Vietnam",77.0,Long Dien,Ba Ria–Vung Tau,"Long Dien, Ba Ria–Vung Tau Province, Vietnam",Miền Nam
Phú Mỹ town,Bà Rịa–Vũng Tàu,District,"Phú Mỹ town, Bà Rịa–Vũng Tàu Province, Vietnam",333.84,Phu My town,Ba Ria–Vung Tau,"Phu My town, Ba Ria–Vung Tau Province, Vietnam",Miền Nam
Vũng Tàu city,Bà Rịa–Vũng Tàu,District,"Vũng Tàu city, Bà Rịa–Vũng Tàu Province, Vietnam",141.1,Vung Tau city,Ba Ria–Vung Tau,"Vung Tau city, Ba Ria–Vung Tau Province, Vietnam",Miền Nam
Xuyên Mộc,Bà Rịa–Vũng Tàu,District,"Xuyên Mộc, Bà Rịa–Vũng Tàu Province, Vietnam",642.0,Xuyen Moc,Ba Ria–Vung Tau,"Xuyen Moc, Ba Ria–Vung Tau Province, Vietnam",Miền Nam
Bắc Giang city,Bắc Giang,District,"Bắc Giang city, Bắc Giang Province, Vietnam",66.7736,Bac Giang city,Bac Giang,"Bac Giang city, Bac Giang Province, Vietnam",Miền Bắc
Hiệp Hòa,Bắc Giang,District,"Hiệp Hòa, Bắc Giang Province, Vietnam",201.0,Hiep Hoa,Bac Giang,"Hiep Hoa, Bac Giang Province, Vietnam",Miền Bắc
Lạng Giang,Bắc Giang,District,"Lạng Giang, Bắc Giang Province, Vietnam",246.0,Lang Giang,Bac Giang,"Lang Giang, Bac Giang Province, Vietnam",Miền Bắc
Lục Nam,Bắc Giang,District,"Lục Nam, Bắc Giang Province, Vietnam",597.0,Luc Nam,Bac Giang,"Luc Nam, Bac Giang Province, Vietnam",Miền Bắc
Lục Ngạn,Bắc Giang,District,"Lục Ngạn, Bắc Giang Province, Vietnam",1012.0,Luc Ngan,Bac Giang,"Luc Ngan, Bac Giang Province, Vietnam",Miền Bắc
